name,batch_size,seq_len,rank,flops,timestamp,train_or_inference,description
932b247715f742fd90729d80189c62e1,4,128,2,1481064525780,1742334232.289509,training,training
932b247715f742fd90729d80189c62e1,4,128,2,1481064525780,1742334233.167077,training,training
932b247715f742fd90729d80189c62e1,4,128,2,1481064525780,1742334233.369101,training,training
932b247715f742fd90729d80189c62e1,4,128,2,1481064525780,1742334233.577913,training,training
932b247715f742fd90729d80189c62e1,4,128,2,1481064525780,1742334233.783479,training,training
932b247715f742fd90729d80189c62e1,4,128,2,1481064525780,1742334234.000429,training,training
932b247715f742fd90729d80189c62e1,4,128,2,1481064525780,1742334234.201153,training,training
932b247715f742fd90729d80189c62e1,4,128,2,1481064525780,1742334234.416862,training,training
932b247715f742fd90729d80189c62e1,4,128,2,1481064525780,1742334234.621266,training,training
932b247715f742fd90729d80189c62e1,4,128,2,1481064525780,1742334234.835775,training,training
932b247715f742fd90729d80189c62e1,4,128,2,1481064525780,1742334235.073967,training,training
932b247715f742fd90729d80189c62e1,4,128,2,1481064525780,1742334235.298977,training,training
932b247715f742fd90729d80189c62e1,4,128,2,1481064525780,1742334235.501336,training,training
932b247715f742fd90729d80189c62e1,4,128,2,1481064525780,1742334235.734532,training,training
932b247715f742fd90729d80189c62e1,4,128,2,1481064525780,1742334235.947786,training,training
932b247715f742fd90729d80189c62e1,4,128,2,1481064525780,1742334236.158964,training,training
932b247715f742fd90729d80189c62e1,4,128,2,1481064525780,1742334236.351342,training,training
932b247715f742fd90729d80189c62e1,4,128,2,1481064525780,1742334236.56261,training,training
932b247715f742fd90729d80189c62e1,4,128,2,1481064525780,1742334236.773354,training,training
932b247715f742fd90729d80189c62e1,4,128,2,1481064525780,1742334237.002882,training,training
932b247715f742fd90729d80189c62e1,4,128,2,1481064525780,1742334237.213708,training,training
932b247715f742fd90729d80189c62e1,4,128,2,1481064525780,1742334237.402972,training,training
932b247715f742fd90729d80189c62e1,4,128,2,1481064525780,1742334237.606661,training,training
932b247715f742fd90729d80189c62e1,4,128,2,1481064525780,1742334237.825317,training,training
932b247715f742fd90729d80189c62e1,4,128,2,1481064525780,1742334238.020935,training,training
932b247715f742fd90729d80189c62e1,4,128,2,1481064525780,1742334238.216104,training,training
932b247715f742fd90729d80189c62e1,4,128,2,1481064525780,1742334238.41536,training,training
932b247715f742fd90729d80189c62e1,4,128,2,1481064525780,1742334238.600298,training,training
932b247715f742fd90729d80189c62e1,4,128,2,1481064525780,1742334238.796193,training,training
932b247715f742fd90729d80189c62e1,4,128,2,1481064525780,1742334238.983823,training,training
932b247715f742fd90729d80189c62e1,4,128,2,1481064525780,1742334239.172735,training,training
932b247715f742fd90729d80189c62e1,4,128,2,1481064525780,1742334239.367476,training,training
932b247715f742fd90729d80189c62e1,4,128,2,1481064525780,1742334239.567132,training,training
932b247715f742fd90729d80189c62e1,4,128,2,1481064525780,1742334239.761396,training,training
932b247715f742fd90729d80189c62e1,3,128,2,1110798394356,1742334239.95945,training,training
932b247715f742fd90729d80189c62e1,4,128,2,1481064525780,1742334240.128892,training,training
932b247715f742fd90729d80189c62e1,4,128,2,1481064525780,1742334240.31279,training,training
932b247715f742fd90729d80189c62e1,4,128,2,1481064525780,1742334240.509359,training,training
932b247715f742fd90729d80189c62e1,4,128,2,1481064525780,1742334240.708329,training,training
932b247715f742fd90729d80189c62e1,4,128,2,1481064525780,1742334240.921093,training,training
932b247715f742fd90729d80189c62e1,4,128,2,1481064525780,1742334241.121174,training,training
932b247715f742fd90729d80189c62e1,4,128,2,1481064525780,1742334241.329866,training,training
932b247715f742fd90729d80189c62e1,4,128,2,1481064525780,1742334241.510093,training,training
932b247715f742fd90729d80189c62e1,4,128,2,1481064525780,1742334241.712878,training,training
932b247715f742fd90729d80189c62e1,4,128,2,1481064525780,1742334241.918994,training,training
